word,count
having,5
THIS,5
know,22
impact,1
hits,2
see,25
raging,1
restaurants,1
but,39
Imagine,2
kwest,1
hmm,1
pcpartpicker,1
day!,1
checked,1
liking,1
mutual,1
aggressively,1
look,9
now,24
hiding,1
once,4
harder,1
Years,2
within,1
1000,1
One,7
explain,1
Haha,1
you,203
sample,1
Easy,1
instrumental,1
month!,1
Removed,1
permission,1
Later,1
(German,2
Tracker,1
distance,1
Nose,1
accept,2
Look,1
homeboys,2
Marvel,1
Villain,1
talk,9
science,1
into,10
than,7
hope,12
Issue,1
both,3
right,25
Intelligence,1
intercepts,1
Corinne!!,1
Trading,1
Post!,1
Uncle,1
all,41
corn,1
dog,1
Rock,1
boating,1
transforms,1
it's,16
Pikachu,1
Pelahatchie,1
boxing,1
Bay,1
able,2
leaving,1
jog,1
2020,1
arena,1
golf,1
i,58
lot,6
Trump-owned,1
so,66
$500K,1
happen,4
He,16
boys,3
for,106
never,17
live,10
Looks,2
find,10
twitter,2
BITCH,2
Like,8
don't,51
beautiful,8
our,19
selfies,2
used,4
that's,9
Can,9
good,19
Easter,28
retweeting,10
season,4
love,46
fight,2
had,21
am,13
Dear,10
over,18
of,143
attitude,2
You,34
A,34
murdered,11
shut,2
happy,14
relationship,6
who,42
with,89
getting,18
two,2
years,8
electronic,2
sources,3
usually,5
sure,9
2,11
RETWEET,5
first,18
tho,4
Twitter,8
To,13
His,3
you've,2
looks,7
them,20
boyfriends,2
Most,6
even,20
With,5
same,9
birthday,3
hurt,2
haven't,3
Please,12
corroborate,2
do,34
Game,3
u,20
video,25
part,7
can,41
Phil,1
re-election,1
efforts,1
tab,1
hotels,1
clubs,1
destiny,1
roller,1
POSTING,1
RT,1
REALIZE,1
BADLY,1
ANXIETY/PANIC/PARANOIA,1
spring,1
break's,1
fate,1
wished,1
worthy,1
blunt,1
noooo,1
one,37
THINGS,1
NOT,1
nifty,1
EFFECT,1
mit,1
PEOPLE,1
bubs,1
hw,1
teeth,1
always,13
Llewellyn,3
Jesus,5
Friends!,3
songs,1
poems,1
together!,1
reminds,1
sitting,2
fic,1
gogogo,1
Meet,1
cheerleader,1
helping,1
Andrei,3
Vasilescu,3
(@ArcaneMajesty,3
haha,1
eastern's,1
alike,1
underestimate,1
Thread,1
OR,2
experienced,1
E363630,2
STOP,2
MIL,1
salary,1
5,7
made,10
guess,1
kawaii,1
hs,1
student,1
let,11
Shawn,1
memories,1
cheated,1
Rice,1
anti-blaqpill,1
$30,1
measure,1
Francesco,1
Edoardo,1
bitch,8
case,3
$172K,1
plate,3
middle,4
Moreno,1
show,8
despite,1
times,6
thought,5
family,11
school,5
running,4
start,7
lyrics,2
because,17
still,22
your,52
crazy,6
brother,2
See,3
IT,2
how,31
religion,2
It's,11
think,22
come,10
death,3
YOU,12
oh,2
Well,4
welcome,6
licence,2
rider,7
experience,2
kinds,2
sense,2
has,25
DO,2
easy,9
us,11
behind,3
Stevie,3
or,25
these,10
forgot,2
Show,2
money,21
Oh,6
get,40
which,5
she's,4
after,15
came,11
man,38
cut,2
whole,5
WITH,6
much,19
definitely,2
possible,4
new,14
worth,3
where,3
Now,3
favorite,3
moment,8
down,14
read,4
face,2
fact,3
poise,2
rationality,2
better,13
day,34
his,27
Fusion,2
anything,6
note,2
Family,5
We'll,2
found,7
2016,2
CAN,2
ELSE,2
purpose,5
Ford,2
about,22
minute,1
Pls,1
Australian,1
weekend!,1
Got,3
pushing,1
bitched,1
if,33
according,1
events,1
soo,1
funniest,1
Dad,1
gave,1
copy,1
&lt;333,1
Ben-Hur,1
wins,1
Molinari,1
carried,1
Mc,1
chasing,1
throw,2
When,19
managed,1
match,1
keon!,1
Only,3
REALIZED,1
notice,2
WATCHING!,1
hello,1
god,4
Nazi,1
pals,1
named,3
driver,1
114,1
60,1
Thompson,1
This,45
animal!!,1
completing,1
Sorry,1
up!,1
Steve,3
old,8
timeline,1
seemed,1
actually,6
saw,5
cookies,1
EXPLICITLY,1
hire,1
stated,1
gonna,10
volunteer,1
So,9
people/news,1
(,1
agendas,1
critical,1
condition,1
radio,1
constitutional,1
whatever,5
lmk!,1
Painting,1
HE'S,1
swear,3
Nudes,1
Rejection,3
Samantha,1
relaxes,1
Aye,1
Job,3
being,8
Moment,2
myself,8
Jeff,1
celebrates,1
Sessions,1
Don't,8
Damingo,1
haryanvi,1
studio,1
aint,1
Teen,3
around,7
Hope,4
All,4
Cleveland,31
eyes,4
stress,2
please,13
Brutal,3
van,2
useful,4
through,5
stopped,2
killer,3
2nd,4
district,2
nobody,2
everything,5
car,4
crying,4
level,2
most,6
any,7
point,2
worst,6
friends,7
else,5
You're,6
nigga,8
Are,6
an,18
won,2
long,6
Exactly,3
retweet,6
Instead,5
they're,2
Nathan,2
Police,2
reminder,3
alone,5
guys,3
shooting,4
posting,2
omg,4
ur,5
we,44
Would,2
bottle,2
stop,5
doing,13
dream,3
yet,3
yall,3
random,2
some,17
RIP,2
Ever,4
cutest,14
Why,9
why,21
date,4
put,8
got,16
everyone,12
He's,4
there,18
users,3
Basically,4
U,5
help,12
I've,24
white,4
WHO,2
woman,9
tweet,12
Say,3
Milton,1
Towed,1
court,1
Slow,1
Save,1
richest,1
fan,2
Adventures,1
Bro,1
GODDESS!,1
Chantelle,1
bathroom,1
expiration,1
hands,2
bottles,1
Sweet,1
ago,3
future,2
Uhh...because,1
bonded,1
hiring,1
member,1
Women's,1
compiler,1
weeks,1
heck,1
Its,1
Bayonet,1
Robert,6
Tag,1
GIRL,1
protest,1
LIVINGGGGGG,1
nothing,7
online,1
length,1
mil,1
views,1
nasty,1
nastyyyyy,1
model,1
general,1
Sounds,2
painted,1
Signs,1
decorated,1
Desperately,1
Need,1
de,1
Hire,1
Blog,1
pic,2
done,5
by,32
massages,1
Heard,1
express,1
Easter!,1
Yaar,1
Purane/latest,1
2017/,1
t.r.mandnia/inder,1
saini/vicky,1
chouhan/,1
Masturbate,1
midget,1
representation,1
*adds,1
list,1
Space,1
million,1
portrayed,1
market,1
doldrums,1
homes,1
estate,1
lowest,1
sin,1
held,1
role,1
island,2
minding,1
business,2
art,3
holding,1
INDICT,1
share,4
Florida,1
16,1
woohoo,1
won!,1
BH,1
Bye~~~~,1
via,5
dream!,1
Bye~~~,1
Cutiepie,1
wee,1
autographs,1
bogum,1
@MsCharlotteWWE,1
space,1
Tae,1
Division,1
went,9
girl,12
free,14
keep,7
did,10
|,8
smh,5
soul,3
excuse,3
Ends,2
song,4
trouble,2
friend,7
making,4
heart,16
late,4
lol,2
b4,2
something,14
visual,2
Go,2
armys,2
Where,6
already,3
spirit,2
you!,6
falls,2
tryna,3
slapped,3
books,2
thing,25
can't,18
way,9
out,37
liked,3
water,4
feel,8
Pretty,2
IS,10
Wall,2
tell,6
Finale,2
using,3
finds,3
Not,3
post,2
im,11
great,11
year,9
too,11
Migos,9
lost,11
safe,9
truly,3
college,2
should,5
/,3
you'll,5
ain't,6
true,5
time,20
stage,2
sweet,2
AM,2
this,102
bc,3
makes,5
6,5
sales,2
half,3
bad,7
dont,6
its,11
Thank,13
No,10
just,81
Reminded,1
Glorious,1
risen!,1
believed,1
alert,1
this/tweet,1
Judge,1
Hedge,1
Fund,1
"person,keep",1
300x300,5
Stop,3
many,11
leggings,2
himself,1
12,1
offs,1
DATING,1
BLACK,1
deadass,1
sneaking,1
photos/videos,1
project,1
Moore,1
Archie,1
Indiana,1
vid,1
signees,1
50,1
Tony,1
"youtube,followup",1
Tf,1
friendly,1
obviously,1
Joy,1
heartless,1
through!!!,1
wasn't,2
victim,1
Writer,1
trade,6
treasure,1
SMART!,1
grandparents,1
bullet,1
70th,1
Bobby,1
abt,1
hatred,1
drill,1
Shiiiiiiiiiittttttttttttt,1
Buechele,1
8:50pm,1
Tears,1
b/c,1
screen,1
Either,3
PURPLE,1
GLOVES,1
JORDAN,1
Follow,2
every1,1
celebrate,1
no,20
European,1
shouts,1
wonder,1
sub,1
CGL,1
WHEN,1
sulphuric,1
EVER,1
acid,1
YOUNG,1
TRUST,1
yodaling,1
Outlets,1
steriods,1
Business,1
profiting,1
haunted*,1
pedophile,1
incredible,1
24/7,1
Property,1
bars,1
number,1
spirituality,1
policing,1
berry,1
kiss,1
forehead,1
kilig,1
small,4
R.I.P,1
moved,1
person,10
sickening,1
1st,2
Which,1
Democrat,1
Hannah,1
Kendrick,1
Brazil!,1
Today,1
frm,1
trip,1
some1,1
across,1
singing,1
follows/ffs,5
OHIO,1
home,4
BE,1
SAFE,1
cherish,1
longer,1
goal,1
pills,1
night,12
different,6
Read,2
act,4
coming,2
while,10
cleveland,2
become,2
thank,6
store,2
Goodwin,2
Taehyung,2
give,9
world,11
boyfriend,4
until,5
House,3
cop,2
him,20
words,3
What's,2
babies,2
anyone,7
Name,2
stupid,2
President,3
change,9
working,3
niggas,6
Everyone,4
deserve,2
y'all,6
here,18
Southern,2
Beautiful,2
Her,2
understand,3
BEST,2
streaming,3
Men,2
catch,2
enough,6
-,16
work,7
sell,2
Hillary,2
hang,2
refuse,2
Who,3
reason,7
coma,2
AND,2
SHE,3
SO,2
posted,2
followers,5
calling,3
before,8
trust,4
believe,7
Slaughter,2
basket,1
puppies,1
display,1
kid's,1
news,1
fetal,1
Clifton,1
alcohol,1
Miller,1
wear,6
confusing,1
keeping,1
woke,1
fold,1
Still,2
creep,1
CHALLENGE!,1
talent,1
God's,1
nah,1
grey,2
care,6
Best,1
Jungkook's,1
LMFAOOOOO,1
Find,1
cyberpunks,1
Signal,1
reliably,1
Massive,1
Car,1
burn,1
Bombing,1
Hiccup,1
Our,2
